33J,43A,53G,AEIEANB,NYUTLOT,EEEEAIIIOOONRRRTLSSUDDCMPFHVWKXQZ,30,0,False
33J,43O,53C,63K,FQANPTM,UTTEONB,EEEEEAAAIIIIOONRRRLLSSUDDGHVWYXZ,46,0,False
33R,43A,53G,CELQLSR,EJMIDYD,EEEEAAAIIIOOOONNNRTTTSUUBPFHVWKXZ,16,0,False
40J,50O,60T,ACUOVIO,MAFRGRY,EEEEEEAAIIIONNNRTTLLSSUDDBPHWKXQZ,54,0,False
33R,43I,53D,UWLIVNO,ORIPTFE,EEEEEAAAAIOONNRTTLSSUDGBCMHYKJXQZ,16,0,False
33N,43O,53D,UEAIESH,WAADJEO,EEEAIIIOONNRRRTTTLLSUGBCMPFVYKXQZ,16,0,False
33T,43O,53T,EJAUTLE,VDHNWAB,EEEEAAIIIIOOONNRRRLSSUDGCMPFYKXQZ,10,0,False
33T,43A,53N,IOIDSIA,VZARPAE,EEEEEIOOONNRRTTLLSUUDGBCMFHWYKJXQ,10,0,False
33P,43O,53D,REZHDFG,LOELTIE,EEEAAAAIIIOONNNRRTTSSUUBCMVWYKJXQ,20,0,False
33T,43A,53D,RQMOZNI,OOEHEIE,EEEAAAIIONNRRTTLLSSUUDGBCPFVWYKJX,16,0,False
33S,43A,53M,EIKOREI,EAZVUNY,EEEAAIIOOONNRRTTTLLSUDDGBCPFHWJXQ,22,0,False
33D,43Y,53E,ZLOEBJT,SHWAEIV,EEEAAAIIIOOONNNRRRTTLSUUDGCMPFKXQ,18,0,False
33B,43E,53T,FEQIEGI,RJELROM,EEAAAAIIOOONNNRTTLSSUUDDCPHVWYKXZ,14,0,False
33L,43O,53T,EKRSEDR,NGUYEAT,EEEAAAIIIIOOONNRTLSUDBCMPFHVWJXQZ,10,0,False
12T,22O,32Y,42E,52D,TDUPAAN,ALIBZAO,EEEEEIIIOONNRRRTLSSUGCMFHVWKJXQ,36,0,False
33R,43O,53M,SLNIELS,PGIFDAR,EEEEEAAAIIOOONNRTTTUUDBCHVWYKJXQZ,22,0,False
11P,12I,13G,33R,43O,53M,SLNIELS,FDARINV,EEEEEAAAIOOONRTTTUUDBCHWYKJXQZ,22,10,True
12Q,22U,32A,42K,52E,NLIVEED,TMXRNNE,EEAAAIIIOOOORRTTLSSUDGBCPFHWYJZ,72,0,False
13Q,23U,33A,43K,53E,25E,26M,NLIVEED,TXRNNGD,EEAAAIIIOOOORRTTLSSUBCPFHWYJZ,72,80,True
33L,43O,53T,IIFNHVR,IAIQEUK,EEEEEAAAOOONNRRTTLSSUDDGBCMPWYJXZ,10,0,False
33F,43E,53D,IETISUA,PENDROO,EEEAAAIIOONNRRTTLLSUGBCMHVWYKJXQZ,22,0,False
33N,43O,53T,63E,SOIIYWA,MOCVTAF,EEEEEAAIIONNRRRTLLSUUDDGBPHKJXQZ,12,0,False
33M,43I,53S,63T,EJIOIEZ,OSUFLOT,EEEEAAAAIONNNRRRTLUDDGBCPHVWYKXQ,16,0,False
33A,43T,53E,KIJLLAO,IQDIBIN,EEEEEAAOOONNRRRTTSSUUDGCMPFHVWYXZ,10,0,False
33T,43A,53L,63E,IUIGLEF,RAETJIS,EEEAAIOOOONNNRRTSUDDBCMPHVWYKXQZ,12,0,False
33N,43U,53T,ERMLQAI,AEUIXNY,EEEEAAIIOOOONRRTTLSSDDGBCPFHVWKJZ,10,0,False
33M,43O,53P,IEQLKST,ETAGUHF,EEEEAAAIIIOOONNNRRRTLSUDDBCVWYJXZ,26,0,False
33M,43O,53W,REAAXHN,TKEUFQE,EEEAAIIIIOOONNRRTTLLSSUDDGBCPVYJZ,32,0,False
33S,43I,53M,KFOUJDN,ERRWNTE,EEEEAAAAIIIOOONRTTLLSUDGBCPHVYXQZ,22,0,False
33S,43A,53G,EQEERIL,NTEUPOC,EEAAAIIIOOONNRRTTLSUDDBMFHVWYKJXZ,16,0,False
33R,43A,53N,RAQTEAJ,OZINWXE,EEEEAIIIOOONRTTLLSSUUDDGBCMPFHVYK,10,0,False
33R,43A,53W,TLAQNEC,UZEISTI,EEEEAAIIOOOONNRRTLSUDDGBMPFHVYKJX,28,0,False
33R,43A,53T,SITQULY,OHONNXI,EEEEEEAAAIIOONRRTLSUDDGBCMPFVWKJZ,10,0,False
33N,43I,53M,ENNIGLS,HRUTOAE,EEEEAAAIIOOORRTTLSUDDBCPFVWYKJXQZ,22,0,False
33W,43A,53D,JIHEEUO,NIECTPL,EEEAAAIIOOONNRRRTTLSSUDGBMFVYKXQZ,22,0,False
